run_id,forecast_date,branch_id,branch_name,region,fsku_id,sku_name,segment,model_config_id,forecast_qty,reconciled_qty,scale_factor,tet_flag,combo_class,branch_archetype,confidence_lower,confidence_upper,qty_sold_12m_avg,qty_sold_3m_avg,panel_months,last_nonzero_month,data_cutoff,item_code,location_code
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688004,,C,WMA_FALLBACK,0.0,0.0,1.0,N,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688004,000
W9_20260406,2026-01,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688004,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688004,000
W9_20260406,2026-02,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688004,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688004,000
W9_20260406,2026-03,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688004,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688004,000
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688005,,C,WMA_FALLBACK,0.0,0.0,1.0,N,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688005,000
W9_20260406,2026-01,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688005,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688005,000
W9_20260406,2026-02,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688005,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688005,000
W9_20260406,2026-03,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688005,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688005,000
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688006,,C,WMA_FALLBACK,0.0,0.0,1.0,N,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688006,000
W9_20260406,2026-01,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688006,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688006,000
W9_20260406,2026-02,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688006,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688006,000
W9_20260406,2026-03,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688006,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688006,000
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688007,,C,WMA_FALLBACK,0.0,0.0,1.0,N,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688007,000
W9_20260406,2026-01,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688007,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688007,000
W9_20260406,2026-02,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688007,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688007,000
W9_20260406,2026-03,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.688007,,C,WMA_FALLBACK,0.0,0.0,1.0,Y,COLD_START,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-09,2025-11,05.L1.8080.688007,000
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.IP8001,,B,WMA_FALLBACK,0.0,0.0,1.0,N,DORMANT_SEASONAL,HIGH_VELOCITY,0.0,0.0,53.0,0.0,35,2024-12,2025-11,05.L1.8080.IP8001,000
W9_20260406,2026-01,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.IP8001,,B,WMA_FALLBACK,0.0,0.0,1.0,Y,DORMANT_SEASONAL,HIGH_VELOCITY,0.0,0.0,53.0,0.0,35,2024-12,2025-11,05.L1.8080.IP8001,000
W9_20260406,2026-02,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.IP8001,,B,WMA_FALLBACK,0.0,0.0,1.0,Y,DORMANT_SEASONAL,HIGH_VELOCITY,0.0,0.0,53.0,0.0,35,2024-12,2025-11,05.L1.8080.IP8001,000
W9_20260406,2026-03,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.IP8001,,B,WMA_FALLBACK,0.0,0.0,1.0,Y,DORMANT_SEASONAL,HIGH_VELOCITY,0.0,0.0,53.0,0.0,35,2024-12,2025-11,05.L1.8080.IP8001,000
W9_20260406,2025-12,0,Công Ty Cổ Phần Tập Đoàn UNIS,ĐÔNG NAM BỘ,05.L1.8080.IP8002,,C,WMA_FALLBACK,0.0,0.0,1.0,N,DORMANT_SEASONAL,HIGH_VELOCITY,0.0,0.0,0.0,0.0,35,2024-08,2025-11,05.L1.8080.IP8002,000
